Timestamp,email,name,branch,year,events,contact_number
4/13/2022 20:54,XYZ@gmail.com,Shivam Bhadula,CSE,2,"Dance, Face Painting,Frame Designing",9.01E+06
4/13/2022 20:55,XYZ@gmail.com,Ayush Bisht,CSE,3,"Dance, Face Painting",9.01E+06
4/13/2022 20:56,XYZ@gmail.com,Akash ,CSE,4,"Dance, Face Painting",9.01E+06
4/13/2022 20:57,XYZ@gmail.com,Sidhant,CSE,2,"dance, Face Painting",9.01E+06
4/13/2022 20:57,XYZ@gmail.com,Prashant,CSE,3,"dance, Face Painting",9.01E+06
4/13/2022 20:58,XYZ@gmail.com,Anas,CSE,3,"dance, Face Painting",9.01E+06
4/14/2022 20:58,XYZ@gmail.com,Shivam Bhadula,ME,3,"Treasure Hunt,Roadies",9.01E+06
4/15/2022 20:58,XYZ@gmail.com,Ayush Bisht,ME,3,Drama/ Skit Competition,9.01E+06
4/16/2022 20:58,XYZ@gmail.com,Akash ,ME,3,"dance, Face Painting",9.01E+06
4/17/2022 20:58,XYZ@gmail.com,Sidhant,ME,3,"dance, Face Painting",9.01E+06
4/18/2022 20:58,XYZ@gmail.com,Prashant,CHE,3,"Treasure Hunt,Roadies",9.01E+06
4/19/2022 20:58,XYZ@gmail.com,Anas,CHE,3,Drama/ Skit Competition,9.01E+06
4/20/2022 20:58,XYZ@gmail.com,Shivam Bhadula,CHE,3,"dance, Face Painting",9.01E+06
4/21/2022 20:58,XYZ@gmail.com,Ayush Bisht,CHE,3,"dance, Face Painting",9.01E+06
4/22/2022 20:58,XYZ@gmail.com,Akash ,CHE,3,"Treasure Hunt,Roadies",9.01E+06
4/23/2022 20:58,XYZ@gmail.com,Sidhant,CHE,3,Drama/ Skit Competition,9.01E+06
4/24/2022 20:58,XYZ@gmail.com,Prashant,CHE,3,"dance, Face Painting",9.01E+06
4/25/2022 20:58,XYZ@gmail.com,Anas,EE,3,"dance, Face Painting",9.01E+06
4/26/2022 20:58,XYZ@gmail.com,Shivam Bhadula,EE,3,"Treasure Hunt,Roadies",9.01E+06
4/27/2022 20:58,XYZ@gmail.com,Shivam Bhadula,EE,3,Drama/ Skit Competition,9.01E+06
4/28/2022 20:58,XYZ@gmail.com,Ayush Bisht,EE,3,"dance, Face Painting",9.01E+06
4/29/2022 20:58,XYZ@gmail.com,Akash ,ECE,3,"dance, Face Painting",9.01E+06
4/30/2022 20:58,XYZ@gmail.com,Sidhant,ECE,3,"Treasure Hunt,Roadies",9.01E+06
